Name	Weight	Color	Size	Type
Apple	150	Red	10	Fruit
Banana	120	Yellow	12	Fruit
Carrot	200	Orange	8	Vegetable
Tomato	100	Red	9	Vegetable
Lettuce	50	Green	15	Vegetable
Grape	5	Purple	1	Fruit
Orange	180	Orange	10	Fruit
Potato	300	Brown	12	Vegetable
Cucumber	250	Green	14	Vegetable
Strawberry	30	Red	2	Fruit
Peach	140	Yellow	9	Fruit
Onion	200	White	8	Vegetable
Mango	200	Yellow	11	Fruit
Pepper	150	Green	10	Vegetable
Watermelon	3000	Green	25	Fruit
Pumpkin	2500	Orange	20	Vegetable
Pear	170	Green	10	Fruit
Spinach	20	Green	3	Vegetable
Cherry	10	Red	1	Fruit
Plum	50	Purple	5	Fruit
